Protein1,Protein2
Q69YN4,Q96AE7
O94992,Q9H8V3
Q5C9Z4,Q14258
O60610,P31483
P16157,Q8N0Z3
Q9Y3A4,Q9HCE1
Q6ZMI0,Q9UNH7
O75791,P08559
O60907,Q8WXE9
Q8WU90,O43482
Q5TC12,Q9BZV1
Q9C0C7,Q9BYE7
P42858,Q96MA1
Q14498,Q9NRI5
Q96C45,P60033
Q00059,Q13523
Q13137,Q15811
Q6P1N0,Q8N488
Q8TBB1,Q9HBD1
Q96PM5,Q9Y5U2
Q9Y4C8,Q00537
P56945,Q9H2J7
Q7Z6Z7,Q9NRA8
Q92615,P50402
P54252,P49790
Q38SD2,Q92900
O60333,Q9UQL6
P10721,P08581
Q6UX06,P07910
Q86TS9,Q9BSI4
Q9HAD4,O60841
P13639,Q5JTZ9
Q9NVJ2,Q7Z5K2
P62191,Q14527
Q13627,O95071
Q9UBU8,Q8N3E9
P84098,Q7Z4H7
Q53TQ3,Q9NPE2
P11047,Q8NF50
O94927,O14893
Q8IUR7,Q9BWF3
Q9NW13,Q96CV9
A1L390,O15360
O15066,Q9UJY4
Q86Y33,Q96FV2
Q9H4M7,Q6PF18
Q96DR7,P02768
Q8WUM4,Q9BQS8
Q8N6T3,Q9NVI1
Q13418,P60468
O94972,Q6VMQ6
Q99615,O94986
P20585,P55072
Q9Y3D6,P61964
O00231,Q16543
Q96GA3,Q9UP83
Q96CV9,P09874
O15078,Q9P2K8
P20618,Q59H18
Q96JN2,Q96CV9
O14964,P25098
Q9H7D7,O95816
O43663,P15735
Q9Y4C8,Q96NL6
Q8IYI6,Q14849
P02549,P08621
P15924,O00541
Q6P1L8,Q13287
Q9BQC3,P49959
Q8TDC3,Q8WYQ5
Q9BVP2,Q9Y6N9
Q9Y285,O75182
Q12873,Q14137
O75716,Q9UKE5
Q9C0B0,P57052
Q5PSV4,Q5T5U3
Q08AD1,Q9BZV1
Q969T3,P78317
Q9H074,P78406
Q9P2R3,Q9NP81
Q86XR8,Q494U1
O95347,P25705
Q9UQE7,Q9NTX7
Q9NYB9,O00257
Q9HCE1,Q3SY00
Q9UJY1,Q9NRR6
Q6IA86,P35222
Q9NY59,O94964
Q69YN4,Q92804
Q99614,Q8TBB1
Q8TBB1,Q01081
Q9P2A4,Q9Y580
Q16666,Q06203
Q9P1Y5,P13569
P40763,O75146
P08621,Q5T481
Q9HCE1,Q5SQN1
Q14432,O14578
Q8IWE4,Q7KZ85
Q96S44,Q8WVM7
P02545,Q96Q89
Q13315,P62875
Q14258,Q8N394
P78314,Q6WCQ1
Q14137,Q92759
Q92625,Q14498
Q96EV2,Q7L190
Q16787,Q9H9V4
Q14676,Q14258
Q9BRS2,Q5XPI4
Q969H0,O60869
P68400,Q9NXF1
O95376,Q8WUY9
Q9UHQ1,P40763
Q96AC1,Q8TEW0
P04792,Q9C075
Q14643,O00212
Q13287,Q9NQW6
Q76N32,P68400
Q4VCS5,Q14457
Q8N6D5,Q9NQW6
Q8TB24,O75821
Q9BZR9,Q8N488
Q8TC84,Q15058
Q12996,P58546
Q9BX93,Q9UMS4
Q8IZ69,Q5T2W1
Q12873,Q96L92
Q86UF1,P55010
Q13501,O95661
P43243,Q92614
Q96RP9,P28324
Q14999,P08133
Q96MA1,Q9H4M7
Q9NV06,Q99615
Q9UJA3,O60293
Q7Z628,Q14254
P52732,P19174
Q86VP1,P51572
Q15025,P84098
Q15714,Q9H4M7
Q9H8V3,Q8IVW4
Q5SW79,Q13618
Q9Y345,Q6SZW1
Q9UKN8,Q92530
Q13501,Q15555
P53992,Q9GZR2
Q99538,Q96GG9
Q9HCM9,Q07157
O75521,Q8TBB1
Q9BT92,Q8WXI2
Q93034,Q14684
Q8IZE3,P04629
O60496,Q9H0E2
Q3KP44,Q9ULJ7
P45973,O95900
P62826,Q15645
Q14643,O75592
Q9ULH1,Q7Z698
Q15040,Q8IXM3
O75400,Q9UKK3
P11362,P55010
Q8TEK3,Q9Y6H1
O95758,P52306
O95218,Q8TAP6
Q9UPM8,P62753
Q9UPT8,Q96D71
O75460,Q15287
Q13263,Q9H078
Q9Y3M2,Q7L4S7
Q9UGI0,Q14676
Q15029,Q86V48
P02768,Q5VT06
P13639,Q15773
P50613,P46934
Q9HCJ0,P57737
Q8TDY2,Q02241
O14874,P61978
O43567,Q8TF72
P58340,Q9NZ32
O43752,Q14004
Q9UK96,P46459
Q4G0J3,Q6DKK2
Q96SB8,Q9Y4X5
Q6P1K2,O14818
Q9HBM1,Q9UBT7
Q8TB24,P46459
Q86Y07,P62304
P61978,Q9NRA8
O94941,O14654
Q86WT6,P55072
Q9Y297,Q8N9E0
Q6NVH7,P10636
Q8WV16,Q8IWX8
Q8IY31,Q9H4M7
Q13200,P19021
O95835,P51991
Q96JK2,Q15029
Q9Y580,Q9UQL6
Q9UGN5,Q9UJV3
Q01081,Q6UVJ0
P49736,O14647
Q5VT97,P61978
Q9BYT8,Q7L0Q8
Q9Y6M9,Q9UG63
P55072,O94874
Q9Y282,P40763
Q7Z4S6,Q7Z5K2
O75815,P62258
Q92667,P61964
Q99816,Q9H6S1
O75330,Q04637
Q9NYZ3,Q15006
Q13438,Q9UII4
Q9Y3A4,Q9H9C1
P0C1Z6,P31948
Q9UBK7,Q9UL25
Q9HCE7,Q6PJ69
Q14134,O60308
Q9ULT0,Q02241
Q8IYN2,Q9HC35
P02545,Q7Z2K8
Q16186,P12004
O15016,Q9GZT6
Q9NRK6,O94763
Q9HCI7,Q70E73
O15315,Q86Y13
O15018,Q9BXW9
Q13501,Q15029
A5YKK6,Q8WVD3
O14745,Q12797
Q9UMS4,Q0D2I5
P07910,Q9Y3T9
Q8WVB6,Q7Z698
Q16288,O94874
P62318,Q14966
Q9BQS2,P53999
Q8ND24,Q9BVS4
A5YKK6,Q9P227
Q9BST9,Q70E73
Q69YN4,Q9Y3A2
Q08379,P47756
Q9BYZ6,O60504
P26368,O43752
Q9H1A3,P78317
Q96BD8,Q7Z6Z7
Q5HYK7,Q15025
Q9UL15,Q9H000
Q9NVI1,Q9HCC0
O94992,Q8TB45
Q9GZS3,Q9HB71
P25787,P50150
Q6PKC3,Q12774
O95232,P33991
Q9Y5B9,Q7Z7L1
P48023,P62753
P43405,Q13526
Q96DB2,Q8TEW8
P04843,Q12933
Q9HCC9,Q00987
Q9UK41,Q9NVX0
Q9UNE7,Q92630
Q969U6,Q969H0
Q9Y275,P29597
Q9Y4Z0,O95758
Q6P2H3,Q9H0X6
Q9Y4J8,Q04637
Q9Y3D9,Q92945
P78362,Q13615
Q08379,Q92734
P62826,P34925
Q92805,P08559
P52272,Q9BYE7
Q7Z434,Q9UQB8
Q9NWB7,Q8NFZ5
P07949,Q9BT25
Q9BYN8,O95208
P50748,Q53EZ4
Q6ZNJ1,Q9NPJ6
Q9BY77,Q4G0F5
Q5S007,Q9Y5U2
Q96G75,Q13287
P13569,Q9BXW9
Q9UBB4,Q02241
O60437,P24928
O14893,Q12873
O14777,Q8WWX0
A0MZ66,Q9BVN2
O95714,O14730
Q14566,P56945
Q6PKG0,Q96MT1
O96019,Q9UQL6
Q6KC79,P51957
Q13616,Q07065
Q27J81,Q6ZW49
Q9H0T7,Q9UJW0
Q96QH2,Q6NSJ2
Q14999,P46734
P51116,Q8IYU2
Q6UX04,P27708
P61962,Q92989
P06576,Q8NDI1
Q9BYN8,Q92805
Q8TCG1,P49454
Q9BZR9,Q9BRV8
Q9BVC4,Q5T5P2
Q9H9L4,Q14152
Q99623,Q9UGI0
P51572,Q96S21
Q9P2Y5,Q9Y383
Q8N1B4,Q96B97
Q5BJF6,Q10567
P48736,Q12972
O00559,Q96S55
Q9Y6G9,P11498
P15924,P40763
Q7L591,Q53TQ3
P43243,Q99471
Q08170,Q96JN8
Q6ZNA4,P14317
Q9UIF3,Q07666
Q9HCE1,Q9BUL8
Q8N6Y0,O15360
P61962,P07196
Q9Y6M1,Q96G30
Q9H0E2,P56945
O94906,P78545
Q96T51,Q9Y5U2
Q9UM82,P62826
Q9UQL6,Q92887
Q9HC07,Q15393
P29475,Q8WUM0
P52701,O15016
Q8IXM3,P40763
Q6ZMZ3,Q9UGJ1
P78406,P33992
Q5VIR6,Q9NSI6
O14965,Q8WWF5
Q9Y2J4,Q9H078
P08559,O14976
Q53EZ4,Q9Y383
P25786,Q9Y3D6
Q9H6U6,Q9C0I1
Q16787,P35222
P68400,Q9ULJ6
Q9P219,P21860
P61978,Q9Y2L1
Q07912,P49792
Q8WYN3,P14868
Q8TDY2,Q13620
Q9Y3C5,P07919
P51572,Q13616
Q5MJ68,Q8N9N8
Q13616,Q8IWT3
P34949,O60830
P24539,Q9BRS2
P11182,P02549
Q06546,Q9H0J9
O60237,Q9UNH7
Q16531,Q8IWJ2
P35240,P12004
Q16531,O43747
O15042,Q13011
Q9HBM1,Q16531
Q9UJW9,Q9Y5K6
Q7Z4K8,Q9NWS6
Q9HBL0,Q13310
Q12934,P07948
O75694,Q8N0S2
Q14511,Q99623
O60896,P15924
Q68CZ6,Q01974
Q9UQL6,P36894
Q9BW83,P09874
Q86XR8,Q8N5H7
Q15746,Q8WUM0
Q9UMZ2,Q4G0J3
O00522,Q9BZF1
O76074,P53621
Q8NHG7,Q13617
P78527,Q8NFW9
Q12986,Q4ADV7
O14733,Q92624
O14757,O95235
Q96GX5,Q969X5
Q9H0A0,Q9Y4P3
Q6PIW4,Q8IWB1
Q9H000,O43379
Q86TG7,P07686
Q15427,Q5XPI4
Q5T5Y3,Q9UM54
O75400,O43175
Q9C0B0,P31350
Q86UP2,Q6P2Q9
P19525,Q86Z20
P55072,P06400
Q9P1Z2,Q9H6E5
Q9NP66,Q9H6L4
Q9NX07,P32519
P12004,Q15029
Q9Y5Y5,Q9NZN5
Q8WY64,Q9Y6M1
Q8IVF2,Q9UBK9
Q14764,Q7Z5K2
P05129,Q00987
Q9BWF2,Q9NQW6
Q15029,Q9BZF9
Q7Z2W4,O75934
Q8NCE2,O94992
O96008,P35052
P14678,O43752
P98170,O43752
Q14498,Q9P2D3
Q8N5M1,P51532
Q9UPM8,Q9UL03
Q9GZU0,Q9C037
O94986,P68400
Q02218,Q96PK6
Q9Y6D9,Q9UNE7
Q9NR71,Q13616
Q14258,Q8IUH5
Q6ZU80,Q9BWF2
Q9UBN7,O14936
Q6ZMZ3,Q99807
O00560,P42684
Q9UBQ5,O94842
Q9UM54,P55735
Q53GS7,Q07065
P24928,P60468
Q7KZ85,O95758
P52298,Q9Y5X1
P13569,Q8NE71
O75449,Q99728
Q99623,Q9NZC9
Q96L91,Q9UPN3
Q9Y605,Q14966
Q13470,O15269
Q12797,P05187
Q66GS9,O43765
Q9Y4X5,Q9Y3M2
Q9Y616,Q9NUG6
O95071,O15226
P23246,Q9BRD0
Q9UBB4,P42336
P33991,Q9HCE7
Q13751,P12755
Q9H2G2,Q12849
Q14498,O75529
P11047,Q8N9E0
Q8TAD8,Q9BVG8
Q9NWA0,Q86UY6
Q9UBT2,Q15139
O60341,Q13616
Q13148,Q04323
Q96ST8,Q13564
P06400,Q8N7R7
Q9Y3C5,Q4G0J3
Q9Y4K3,Q9H8Y5
Q9Y275,O14828
Q9UHW5,Q8NFV4
Q9Y4H2,O14836
P07948,Q3MHD2
Q9Y6H1,Q14789
Q9HCD5,Q99959
Q13263,Q96G01
Q9NRI5,Q99590
O14949,Q9UBD5
P32519,Q9Y6D6
P07686,Q13946
Q13526,O00559
Q15021,Q13618
Q9BYG3,P30154
Q8IYX8,Q5S007
P40926,Q9NUQ6
P62308,P15056
Q13546,P83731
P11172,O95235
O95049,Q96KQ4
Q86UY6,O15155
Q7L5Y9,P04629
Q86WT6,Q5XPI4
P52298,Q96QF0
Q9NSC5,Q15025
P53618,P25788
O14654,P40939
Q14258,O94822
Q5S007,O94972
Q13613,Q96T60
Q13835,O95235
Q9H8V3,P53355
P04629,Q9NPF5
Q9P2W9,O43252
O00232,Q96GX5
Q6PL24,Q9NQW6
Q9Y291,Q9HD67
Q8TDB6,P68400
Q14980,Q5TCY1
O95140,Q9NRW7
Q9BWT7,Q13242
Q5VT06,Q92769
O14976,Q16610
Q8WVV9,Q13618
P36776,P35240
P06753,Q14258
Q96H55,Q5VW32
Q8TEU7,Q15276
P07948,P36402
Q9P2S5,Q9H6Z4
Q53GA4,Q5W0U4
P51149,P06753
Q16512,O76039
Q8IUD2,Q969G3
Q9NU22,Q86U70
Q9H792,Q9UMS4
Q8WVP7,O60573
Q9BYG3,Q8WYR4
Q8NB46,A7KAX9
Q96ST8,O75674
P11308,Q9BZC7
Q96L92,A7KAX9
Q00610,O60341
Q13535,Q9P2D0
Q9NR80,O75674
Q9H267,Q00341
P30084,Q9NPJ6
P11274,Q8TC29
Q9BZB8,Q8IZL8
P25788,P05783
Q12986,Q709F0
P50402,Q8NEV4
Q8TAM2,P62258
Q5M7Z0,Q13620
Q6PJI9,O75694
Q92918,Q15393
P06213,Q6IQ23
O00522,P62258
Q6ZW49,P25788
Q9BU02,Q5JTZ9
P09496,Q9BZB8
O60921,Q86V81
Q8IW41,O15294
P20042,O14662
Q12834,Q02156
Q8IYI6,Q14258
Q12986,Q9BXL8
Q9BQA1,P56962
Q9UBL6,O14744
O60907,P08559
Q99457,O14576
P50570,Q96CW5
P56945,A1X283
O94868,Q9H4M7
Q96DI7,Q8TDR4
O00257,O95163
Q13794,Q9NQW6
P29323,Q9UHV9
Q13825,Q9BRS2
P60033,O75694
Q13395,Q8IUX1
Q8TEC5,O15259
Q96LK0,P34897
Q16666,P40926
Q8N488,Q9NRD5
O95816,Q9UJ41
P35240,Q13148
Q8WVB6,P35052
P20290,Q9ULD2
Q9Y276,Q9H1K0
Q9BYD3,Q6P2Q9
Q9Y297,Q9Y291
P36776,O43924
Q7Z404,Q16531
Q6ZNL6,P08574
Q9BW71,P42773
Q8N159,O15066
Q92805,Q16566
Q9ULL1,P52735
Q92541,Q9P2S5
Q92900,Q6PF18
O60674,Q5SY16
Q13618,Q8IWB1
Q15696,P04843
Q9UGN5,Q8IZT6
Q7Z5K2,Q86UP2
P25788,A2VDJ0
Q9H3U1,Q96PK6
Q99614,Q9Y4K3
Q13620,P78362
Q9UM82,P04792
Q9NX20,Q8TE73
Q9BUI4,Q14318
Q13526,Q96CW1
Q13114,P60228
P48736,Q9P270
P56945,P19525
Q9NQG5,O94992
Q2Q1W2,Q96PU4
Q8WVM8,O75570
O75935,P60033
Q8WXH2,P49321
O94927,Q16543
Q08426,Q92630
Q9UN86,P33897
P23497,P14866
O75127,Q9NYB9
Q9BZL4,Q9Y3E7
P47974,P10636
P35611,P12270
Q9Y2D8,Q86YC2
Q9BT25,Q14678
Q9Y3X0,Q9BTA9
Q96PU4,P14866
O94826,O00189
P20042,Q15149
P48023,Q9BYN8
P46940,Q9H672
A7MCY6,Q14247
Q9UHB9,Q9UHV9
Q92624,O43593
Q9BXA7,P30566
Q14498,Q9UL25
Q9Y6D9,O60504
Q52LW3,Q9HCE1
Q99700,Q8WUA4
P52815,O43426
Q9NP66,O14965
Q8IZ69,Q96G25
P49703,Q9UBT2
O94826,P35568
Q8N6Y0,Q52M75
P38398,P52630
Q9UJW9,Q9Y3C5
Q8NFZ5,O95071
Q9UHX1,O14492
Q8IVF5,P61221
P55327,Q8IZE3
P57775,P61289
A8MT70,O14578
Q14088,P46937
P04843,Q5TCZ1
Q8TBK6,O96033
Q17RD7,P48436
P07196,Q9H4M7
P08708,Q14999
Q9H7C4,Q69YN4
O14773,P09874
Q14258,Q8WXD2
Q6UXT9,Q8N122
Q13501,Q8IXS6
Q8NI35,O14508
Q9BQ67,O95661
P49840,Q12933
Q14699,Q15154
P61764,Q5JR59
Q13148,O95714
O95816,Q03001
P32929,Q96T37
Q9BV68,Q9NW13
O75717,Q9UHA3
Q9NWB7,Q14671
Q99961,Q9P2E9
Q8WTP8,Q9BTE6
Q96QH2,Q9H4M7
O14654,Q5TZA2
Q13427,Q8NEY1
Q9Y6E0,Q8IWX8
Q16543,Q13535
Q9UM54,O43318
P62306,Q96SU4
Q7L5Y6,Q96IZ0
O76064,Q69YN4
Q9UEW8,Q9Y574
P53618,P83731
Q14004,O14949
Q96MT8,O43747
Q07666,Q8N122
P41225,Q86Y82
Q14151,O94906
Q96P50,Q99640
Q14974,O43776
P60228,Q9Y4W6
Q9BYF1,Q9Y276
P55196,Q9BZE9
P61289,Q9H4A3
Q6P3X3,Q6P996
Q9Y4A5,Q92900
P05387,O00231
Q9Y4C8,P19338
Q9Y3C5,Q96RQ1
Q9UL15,P02768
Q9Y291,Q9NPH2
O75521,Q9Y4K3
Q9Y605,P13569
P62308,Q14671
Q13439,Q08379
Q66GS9,Q99417
Q02880,Q8WXE1
Q99614,O00268
Q9BZV1,Q8TBA6
O95347,Q9BW27
Q8NEN9,Q9UNG2
Q14999,Q00987
P42229,O94972
Q96CW1,P04629
P30260,P24928
P43246,Q7Z569
Q15149,Q92545
Q8N1D0,Q8N137
Q7Z6J0,Q6P1L8
P55010,P22314
O00233,Q5W5X9
Q07157,Q9H0U9
Q15758,P49792
Q9Y4D1,Q15154
Q9BQG0,Q8TF72
Q96EP0,P49736
Q99961,Q9BWU0
Q13427,P25054
Q14999,Q9BUB5
P53621,Q9NTX7
P22314,P25788
Q8TF74,P25786
P22314,Q5BJF6
Q53HL2,P09012
Q8IYT4,Q9Y4X5
O43639,Q96CW1
Q9NRL3,O43684
Q96S90,Q12904
Q86V48,Q9NNW5
P11310,Q6P2E9
Q9Y375,Q9H8V3
Q96TC7,Q9BRV8
P35711,Q16666
Q9BXM7,P60228
P05187,O15553
Q13769,Q99961
O75934,Q9UDY2
Q5HYJ3,Q02156
P52594,O94972
Q8TF74,Q96PE3
Q13308,P12004
Q9UQL6,P25787
Q96G97,P62258
Q9NRD0,Q92900
Q9UGY1,P23246
Q9UBU8,P53794
Q96JH8,Q8N9N8
Q13200,Q13772
P12004,Q8TEA7
Q03933,Q9NRL3
Q8IVI9,O43809
Q9BY78,Q9UJV3
O95661,O43175
Q8WYQ5,P14866
P30414,Q13263
O43166,Q9UPV9
Q676U5,Q8TB45
Q9BS16,Q69YN4
Q8NHQ1,O95429
Q96AX1,Q14974
P02545,O95487
Q9P2D3,P46734
Q8IWW6,Q15056
Q96K80,P38398
Q9H773,P38398
P08581,O76064
O95817,P18754
O15287,P20290
Q15050,Q12899
Q13620,P06576
Q9NZ52,Q9Y4H2
O14492,Q5XPI4
Q14289,Q08170
P27144,O00559
Q969H0,Q96QF0
Q5XPI4,Q9H4B6
Q9H7D7,P51991
Q13671,Q8TEW0
O15357,Q92878
Q14142,Q17RY0
O15016,Q4G0J3
Q9UHB4,Q00610
A7MCY6,Q96PD4
Q13724,Q27J81
Q9BZV1,Q8WWW0
Q07065,Q86X02
P33241,Q9UJW9
Q96JP2,P12956
Q9ULC3,Q9BYZ2
Q8TBB1,Q14008
Q9Y3A6,O14746
O43752,Q9HC98
Q99759,Q494U1
P35240,Q96D71
Q96DB2,Q9NYM9
Q8TC44,Q8NCN4
Q13190,Q9NX18
Q99417,O14578
Q5T5U3,Q13596
Q9UQB8,P11362
O14949,Q9HBD1
P09012,Q5W5X9
Q9NRI5,Q13310
Q9UER7,Q709C8
Q5XPI4,Q06587
Q14258,P49757
Q8NI36,Q9BQS8
P12956,P46459
Q9ULJ7,P42858
Q13620,O15042
Q14847,Q12933
Q96EP0,P23497
Q9BYB0,Q02224
Q13618,Q13490
Q9Y282,Q6PKG0
Q9BYV6,Q96RK0
Q96B97,O15260
P29144,Q5S007
Q5S007,P20936
Q3SY00,Q9NTJ3
Q86WT6,Q86TG7
Q27J81,P07948
Q3SY00,Q9BYC5
P11308,P25054
Q2M329,P55884
Q9UNK0,Q12873
Q9UPS6,Q92667
Q38SD2,Q8NFJ9
P08559,Q99549
P20929,P31948
P52701,Q12933
Q14004,Q9Y6D6
P09496,Q9HCE7
O94925,Q96A33
P43243,P48736
O94874,O75815
P61964,Q9BPZ3
Q9H4M7,Q15669
O75665,Q9H2G2
O43929,O95858
P02649,Q9NP62
Q14258,P35568
Q7Z628,Q86XL3
O75787,Q9BWU1
Q08945,Q13200
Q12873,Q96NW4
P04843,A5YKK6
Q9BT25,P38398
Q16531,Q9ULJ8
Q8TB36,Q14789
O95219,Q96SB8
Q5S007,Q86Y33
Q9UEU0,Q13905
Q9UHB9,Q9C0B1
Q9NRF2,O00212
Q9NQW6,Q9H788
P50570,O95714
Q9Y4K3,A1L4K1
O14979,Q12846
Q9NPJ6,P61221
P0C1Z6,Q15029
P10515,Q9H0B6
O60308,Q7Z406
Q9NQU5,A6NHG4
P02545,Q13620
O15155,Q9UPQ4
Q6ZNL6,Q92567
O15440,Q8NEZ3
P56945,Q4G0J3
Q7Z2K8,Q9C0C2
Q00059,O43586
Q8N9Q2,Q9BPX5
Q9UJ41,O75832
P35611,O14924
P10636,P30154
Q14152,Q9NP62
Q9UHD8,Q9Y5B0
Q14247,Q02241
Q8IZE3,Q8NHQ1
Q9BWW4,Q5JSL3
Q96S44,O95721
Q9UBQ7,Q8WUM4
Q13459,P30566
Q9H3R5,Q13148
Q6P1N0,Q9UDX3
P46108,Q13098
P43405,Q5S007
Q8TDR4,Q69YQ0
Q14315,Q9P270
P42338,Q9P0K7
Q9H4M7,Q9H0E2
P40938,Q6PJT7
P46734,P13569
P42695,Q16659
Q6NUP7,Q15029
Q8N9W6,Q6IQ23
Q99570,Q14999
Q58A45,P51617
Q969H0,P0C6C1
P33241,P51957
Q6IQ23,O75530
Q92973,Q86X27
Q9BXL6,Q96PX6
Q15139,Q13114
Q9HBD1,P35712
Q96QC0,O95900
Q9Y3R0,O43660
Q9NYZ3,P05783
O14908,Q9Y4R8
O60566,P55735
Q5RL73,O43776
P20290,Q9ULH0
P04264,Q9HCF6
Q8TC84,O00330
O14543,Q14498
Q13148,P42336
Q99426,P78317
Q9UHV9,O94972
Q9NRI5,Q9BRK4
Q16659,Q13823
Q9Y3X0,Q9BYN8
Q96BY6,O60313
Q12986,Q96A49
O76071,Q9H967
P62258,P40939
P09874,Q6PKG0
P51957,Q9NUQ8
Q9BZV1,Q9Y4J8
Q12929,A6NDG6
Q70UQ0,Q9NZJ9
Q9Y6G9,Q9NWA0
Q10567,O60341
Q15058,P19838
Q8N7W2,Q8IU60
Q8N5V2,Q16531
O43347,Q13137
Q96LK0,Q9H081
Q9UJC3,Q13435
Q14258,Q6I9Y2
Q9UL46,Q5QP82
O15381,Q8IZC4
Q86VQ0,Q4G0J3
P04792,O43752
P09543,Q13131
Q8N442,Q8IXT5
P31943,Q9UNQ0
Q86TS9,Q9HC52
Q9BRK4,Q9UPN3
P12270,Q9UPQ4
Q96JN2,Q969V5
Q9UDY2,Q8TBB1
O43463,P53350
Q969H0,Q13200
O95661,P41252
Q8IVH8,O95816
P49756,Q96B97
Q9NV31,P55735
Q9UBT2,Q15058
Q5HYI8,Q86UY6
O75582,Q12849
Q13064,O94874
Q86V81,Q8IWA0
Q99627,Q5BJF6
Q9UF11,Q96A33
P04629,Q9Y5W7
Q9P2D3,Q8NB25
Q9Y2V7,O43663
Q16363,P02768
O14544,Q5M775
Q05397,Q8N5M1
Q69YQ0,Q8TED0
P83731,P37173
Q9H497,P42704
P55072,P19878
Q92805,Q9HCU5
P62753,Q7Z695
Q6ZNL6,P10636
Q8N4Y2,Q9NQB0
Q8WWM7,P61201
P23246,P62308
Q6IQ23,Q9UPQ4
O00212,P13639
Q14643,Q96B97
Q9P270,Q92878
Q13356,Q02880
Q96SU4,Q9UQE7
Q5VT25,Q13596
Q8N7W2,Q8N3X1
O95816,P52948
Q9UER7,Q9UQE7
P54819,P54257
O75925,Q86VM9
P50542,P78362
Q9H7D7,Q2M1P5
O94864,Q15907
P61587,P53621
Q9Y5S9,Q9H0X6
Q9HB71,Q9Y580
Q9BPX5,Q8IYM9
O75116,Q96BP3
P52948,P62318
P42566,Q9NXN4
Q9H1E3,Q7Z2W4
P12004,Q9NQW6
Q9NQW6,Q9BVQ7
O60341,Q13393
P19838,Q9NQW6
Q8NEH6,Q13480
Q9H204,Q92622
Q9Y3D6,Q9BYV6
O95751,Q9H000
Q92667,Q8NE31
P26368,Q9BWG6
Q00653,Q9NWX5
Q13620,Q9NPG2
Q9UM82,Q9UBB4
Q13615,Q9UBN7
P05129,Q9NRA8
P98170,Q9P2A4
O75962,Q5T9A4
Q9H8V3,O00443
Q14498,Q8N5U6
Q68CZ6,Q9Y4A5
P35711,Q86VP1
Q9NQW6,Q9Y4A5
Q14498,Q01844
O43809,Q9NQW6
Q15427,Q5HYI8
P51572,O14974
P31948,P43246
Q96B97,O75529
Q13042,O43318
P12004,P11047
P14373,P43243
Q14684,O00267
Q9C0B0,P36507
P05387,P49792
Q9BRP4,Q9UPN9
Q9BYB4,P35611
O43318,P04843
P20290,Q9NYY8
Q96CW5,Q8N7C3
P0DPB3,P41252
Q7Z2X4,P12956
Q5T7N2,Q9H4M7
Q5T4D3,Q96EV8
O43516,Q13137
P46199,Q99623
O14776,Q92769
P37198,P23246
Q9NP58,Q14676
Q8WWM7,Q8IV63
O43318,P14866
Q9NUG6,P48444
Q07889,Q12959
P31943,P54252
Q08345,Q6WCQ1
Q9BV38,Q9H4M7
Q7Z2W4,Q15311
Q13099,Q99972
Q5SW79,Q86WT1
Q99436,Q13148
Q969H0,Q96KV7
Q08379,P62258
Q9BRK4,Q9NYJ8
P62306,Q8N3X1
Q8TBF4,Q15029
Q68CZ1,Q9C0B0
Q9Y6G9,Q14684
O95347,Q9Y4D1
Q969G3,P07910
Q15029,Q9H0A0
Q96GG9,Q14258
P46934,A6NIH7
P15056,P38432
Q5S007,O14678
O95758,P25788
P46734,P62306
P05387,Q5GLZ8
Q7Z434,Q9C0F1
Q9P258,Q9Y6K9
P41743,Q9NZN9
P52948,Q96K19
Q86VM9,Q15311
O75052,P52306
P78362,O75821
P50897,Q96S79
Q6W2J9,Q13823
Q2KHN1,Q6ZMZ3
Q9NPJ6,Q96T58
O75592,Q9BY77
Q9ULJ7,Q5XPI4
Q96EA4,Q9NRI5
Q676U5,O14964
Q96PU4,P41212
Q8NEB7,O95758
Q13347,P25098
Q00653,P13569
Q14699,P58107
Q9H081,Q9BXF6
P27144,P57775
O00459,Q01484
Q8TDY2,P60468
Q06546,Q9BUB5
Q5JTH9,Q9HC98
Q15058,P40926
Q9NTJ5,Q5SZD1
O14617,Q14566
P42704,P26572
P07948,Q9Y333
Q9HBD1,P55327
O43463,Q9BXY8
P84098,Q92817
Q8NF50,Q15058
P20929,Q8WXE9
Q9H4M7,Q6XZF7
Q7Z6Z7,Q99759
Q8WZ64,Q99816
Q9H078,Q9UPT8
P13639,Q9Y6R4
Q7Z699,Q9NRC1
Q5JR59,Q9BQ67
Q13347,Q96PE2
Q5T7N2,Q9UER7
O95816,Q16630
P40937,Q92918
Q99490,O76081
Q9H1E3,Q00059
Q86US8,P38432
Q66GS9,Q9P107
Q07666,Q9UK22
Q8N0Z6,Q02241
Q9HD33,Q02241
Q9Y6K9,P31948
O43663,Q9H7D7
O75533,A6NEM1
P46934,Q92630
Q8TAP6,Q14203
P38606,P46940
Q9UBU8,P61587
Q8NF50,Q14999
Q92878,Q9BZJ0
Q7Z6J0,Q13501
P49366,Q9H4M7
Q9NU22,Q8N122
P26651,Q8WUA4
O15360,Q8TD19
Q92466,P40939
P21359,P22570
Q9HBL0,P61978
Q15628,Q12955
P19878,O76094
O15294,Q12955
Q12986,P30260
Q13546,Q9BYN8
Q9UNM6,O00257
Q9BQ67,Q15036
Q96K80,Q5S007
Q9BVN2,Q9H0U9
P51957,Q6PIF2
Q13263,Q7L0Q8
Q15025,Q7Z695
P17980,Q9Y3C5
Q69YN4,Q9UL03
P53618,Q9NP66
Q96L92,Q9BQA1
