Protein1,Protein2
P49721,P62258
Q9ULH1,Q38SD2
Q9BQ67,Q9BYZ6
Q96PK6,Q8N4C6
P42694,Q8WVV9
P62995,Q15287
P33993,P53350
O95248,Q08623
Q9UHX1,P78362
P36894,P14616
P42858,Q9NX55
Q8NCN4,Q14676
O43390,Q96PM5
Q86UK0,Q9NR56
P61978,Q9HCE7
Q9P2K8,P42704
O95835,Q15831
Q6PML9,Q13825
Q99615,Q96RK0
Q14254,P46937
P08708,Q14498
Q13480,Q69YN4
Q9BRK4,Q4VCS5
P33992,Q15139
O95714,O75832
Q9Y4C8,Q7Z7L1
P11274,Q69YN4
O00560,O00408
Q9Y3A4,Q8NI77
Q0VF96,Q86UY6
Q00059,Q9Y4X5
P53621,Q9BV68
P29597,O15016
O75150,Q9NPJ6
Q58A45,O43663
Q5T7V8,P35606
Q96F24,Q8TES7
Q16630,P51957
O95218,Q16864
Q6ZWJ1,Q8WTW4
Q9H089,Q9C0E8
P60900,Q00987
Q9H814,P14678
Q9UKG1,P35573
Q5T1C6,Q96RP9
O95816,Q9HBD1
Q99683,P31751
Q01804,P51957
P61289,P20618
Q9H6S0,Q16666
Q07889,Q13480
Q8NDI1,Q9NZN4
Q13242,Q8TAD8
P79522,P52732
Q96PV0,Q9UJV3
Q96PU8,P14317
P56537,Q86VM9
P04843,Q16186
Q9NZN5,Q9NQW6
Q13753,P13569
Q16610,P42356
Q92667,Q86UP2
Q9UBT7,Q8N103
O95721,O95229
Q8WYQ5,Q96SB8
Q9Y4A5,Q9Y2I8
P11413,Q14142
Q9UNE7,Q8IZL9
Q9P2R7,Q96E11
P25205,Q5FWF4
P49756,Q6ZW49
Q15645,P14866
P49736,Q15811
P29323,Q13148
P62826,Q96ST3
Q02224,Q9Y6D9
P16435,P43307
P35527,Q8TB24
P58546,Q8N137
P25205,P49761
Q6NVH7,Q6PIW4
O14929,P54198
Q9Y3M2,P61962
Q14966,P49761
P68400,P52926
Q92619,O75031
P46940,Q99759
P46100,P14866
Q9UL25,Q69YN4
Q15907,P11362
Q9BW27,Q9BYG3
Q8WU90,Q9NPJ6
Q8NF91,Q9NWB7
Q9UBN7,Q9NUQ8
Q12933,Q8NB16
O75694,Q8WYP5
Q7Z7G8,Q99615
Q9NW13,Q9H4M7
Q9H078,O95900
Q8NFH3,P78317
Q14692,Q9GZS1
O95782,Q9H0E2
Q9BXC9,Q9NQ48
Q68DC2,Q8NBU5
Q6P2H3,Q49A88
P60900,Q14498
P46934,O14964
Q6IQ23,Q86UF1
Q13616,Q9UKK9
O95373,Q15628
P08574,O14773
Q00610,O14920
Q6ZNE5,Q8IYI6
P19338,Q96CV9
Q9P0L0,Q12770
O14559,O43663
Q12849,Q9NQW6
Q53EZ4,O14773
O75145,O60504
P49736,Q8NEM0
O14776,Q8TAP6
Q27J81,O43752
Q9UBQ7,Q9HCE1
Q8WVV4,Q8WVZ1
P42338,P35568
P43243,Q9HBD1
Q7Z419,Q504Q3
Q9BQC3,Q9NZL4
P15735,P53355
Q05682,Q5VT97
Q2TAC2,Q15058
Q9ULH1,Q96CV9
O15260,P09874
Q7Z3B4,O15294
P62316,P35222
Q96H79,Q96PU5
A5YKK6,Q3KP44
P28066,Q92530
Q7Z2W9,Q9NYY8
P68400,O60293
P36542,Q13263
P40939,Q13501
Q9Y6V0,Q5XPI4
Q969S2,P14373
Q13094,P43403
P31350,O75665
Q9BRL6,Q9UHX1
Q9NVC6,Q8TBK6
P30084,P26440
Q00987,P61289
Q9NZ52,Q15036
Q9UQ80,Q9UQL6
Q96AC1,P18206
Q9UKV3,Q01081
Q9P2N5,O60930
Q9H2G4,P38432
P17480,Q9UBC1
P37198,Q96T52
Q9H2G2,Q53RE8
Q9Y5B9,Q9UKV3
Q96N67,O00212
Q96EP5,Q13618
Q9Y3F4,P13569
P22830,Q00987
Q9NQB0,Q9BQS8
P14174,O15078
O15067,Q13263
Q9UNE7,Q99558
Q96SN8,Q8N0U7
O43482,O60504
Q9H977,Q96MF2
O95721,Q5T8D3
O75554,Q9UPS6
Q12797,Q8NFU4
P61962,O15054
Q00341,Q9NPF4
Q9Y297,Q8N3Y1
Q5VWQ8,Q7Z6G8
Q6PKG0,O14776
Q5T9S5,Q05397
P02652,Q96L92
P35222,Q9Y252
P34897,B2RTY4
O60841,O95071
P62191,Q16401
Q13617,O43663
Q9BYV6,Q15393
Q8TEH3,Q9NYZ3
P02768,Q9UGI0
Q9C0C2,Q9P2S5
Q969F0,P17152
O95218,Q86VM9
P40939,Q9UQL6
Q658Y4,Q8NEL9
P09543,P07948
Q9NQZ2,P54257
Q14457,Q8N5C8
Q9BRK4,Q9BV73
O60437,Q13084
Q02241,Q15831
P08574,Q9C0I1
A1L4K1,Q9BXY8
Q14678,P34947
Q8WY36,P38432
P62191,Q9UJC3
P46940,O43663
O14662,O95721
O75665,Q2M329
P36542,Q7Z6Z7
O43463,Q96GN5
Q96CS2,Q8N1B4
Q6UXT9,P21673
Q15393,Q9UQL6
Q9NY59,P01375
Q6T4R5,Q9BQD3
P11182,Q9GZT6
Q9BV38,Q14137
P27708,Q96CV9
P27708,Q9BQ67
Q9UDY2,P46940
P07948,P61221
Q14204,Q9C0B0
O43765,Q96CV9
Q5VU43,Q15386
Q9Y2J4,O75069
Q16512,P04629
P46459,Q14457
Q8NHV4,Q96CW5
Q13620,Q13618
Q13200,Q13618
P60228,O00232
Q8NEN9,Q8N9I9
P08621,Q13617
Q9NRA8,Q86US8
Q13310,O75382
Q12802,Q5XPI4
Q92900,P79522
Q9NQP4,P61962
Q96G25,Q12988
Q6PJI9,P55735
P0C2W1,Q6ZRY4
Q14974,Q9NRA8
P05387,P60033
Q5T200,Q13823
Q00059,Q96RP9
Q9NVK5,Q9UKE5
Q96ST3,Q9P0L0
O60496,P40763
P53041,Q13042
Q8WTW3,O95159
P46821,Q96BR1
Q92805,Q9GZZ9
P49901,Q58EX7
Q8WWM9,P85298
Q9NW38,Q0VG06
Q92734,Q13114
Q9NUG6,Q99759
Q8N0X2,O95817
Q14004,Q9NZZ3
O75663,P29144
Q5M775,Q7L190
Q9Y5X1,O14965
Q12981,Q96CS2
P25705,P02649
Q13007,O95429
Q8N7R7,Q9NZ71
Q9UG01,Q86WT1
P62873,Q5T7N2
P55072,P21359
O96019,P04629
P40925,A6NHG4
P20936,Q9BRS2
P30414,Q8N5F7
Q6P1M9,Q8ND24
Q9NYB9,Q7L2Z9
P07476,Q9NR56
P83436,O00559
Q15811,P07948
Q6UB35,Q96E11
Q7Z4H7,O14578
Q9NSI6,Q96G01
O95271,Q96RU3
Q96F07,Q9H000
O43719,Q96PM5
Q15058,Q15149
Q8N1B4,O43752
P42696,Q99558
Q8NEN9,O75694
Q9P219,O75970
Q8IYB7,Q16401
Q9BZR9,P11308
Q9Y333,P62306
Q9NXF1,O14578
O15392,Q9NQS7
Q9UNF0,Q9HBA0
O14733,Q16543
P55345,B1AK53
Q9BXF6,O75347
P53367,P49591
Q8IUR7,Q15287
Q5TCZ1,P48023
Q9UHW5,Q9H0M0
Q13724,P60468
O43765,P49721
Q9NYP9,O75558
P52948,Q96DB2
Q15382,Q92574
P42704,Q9NYY8
Q14203,Q8NFJ9
Q15287,O95071
Q969V5,Q7Z434
P61758,O75344
Q8N6T3,Q2M329
Q13042,O14965
Q9NS87,Q15773
Q14152,Q96RK0
Q8NEV4,P49736
Q86TS9,Q9BT17
Q9UQC2,O00459
Q86U86,Q8NFU4
Q92597,Q08379
O00232,O14818
P42338,P31751
Q8N7R7,Q96QF0
P62310,Q14457
Q9Y570,Q92538
Q8N205,Q96CV9
Q15650,Q9H4M7
P35527,P42566
O43463,Q96T60
O75616,Q8IXZ2
Q9GZR2,Q12873
Q8IUH5,Q9BYG3
Q9ULW0,Q69YN4
Q99959,Q9BV73
Q5T5U3,O00212
Q8IYT4,P57078
A4D1E9,O75127
P51970,O75208
Q8N5D0,Q9BYC5
Q9NXL2,P14866
Q6IA86,Q969Q5
P12956,Q96HA7
Q6PGN9,P54252
O95163,Q13263
Q6XZF7,Q96B97
Q96CS2,Q9HC77
Q13616,Q13415
Q9NQ48,O43684
Q9Y4A5,O43663
P62753,O94992
P00558,Q5S007
Q9NVE7,P04792
Q9H8Y8,Q9Y620
Q8TD31,Q9Y250
Q96S44,Q5JR59
Q9Y4F3,P50548
Q92878,O43283
P84098,P15735
O75787,P02545
Q86V48,Q96G01
O95613,Q9UGI0
O43824,O95861
P24928,P04629
P61289,Q8TEW0
Q9P2R3,P51957
Q8WXE1,Q676U5
O75832,Q05086
Q96RR1,Q969S9
Q9Y230,P47712
Q86UT5,P25092
Q8WVV4,Q15831
O60306,Q69YN4
Q63ZY3,Q8NB25
Q9H1B7,Q69YN4
P31350,Q99816
Q27J81,O14579
P51532,Q8TAD8
Q96KS9,Q969H0
P54252,P25963
O95872,O95429
Q13501,Q15038
O14745,Q96S44
P25205,Q3KP44
Q96T76,P18074
P62873,P04629
O14964,Q96RK0
O15226,Q9BYG3
Q86WA8,Q9H4M7
Q07157,P61962
Q5JR59,Q8IYX3
O15069,Q9UBN7
Q99623,Q00987
P31948,O95758
P29590,P06400
Q86Y07,P38432
Q5TGL8,O14910
Q15058,Q9NPJ6
Q9P0V3,P50570
O00471,O75558
Q9H2J7,P51572
P20042,Q86VM9
Q9Y291,Q9NYY8
Q86UU1,P51116
Q9H270,P51149
O60341,Q5VU43
Q2NL82,Q12986
Q13772,Q13501
Q5TZA2,Q8N0S2
P62310,Q86VM9
O95271,Q96PX6
O43166,O15016
Q9NYN1,Q15058
P51991,Q13616
O14908,Q6IQ23
Q9P2B4,Q14258
Q9ULH1,O15259
Q9UKV3,Q8N5F7
Q9ULJ6,Q14258
Q8N684,P51116
O43678,Q9NRK6
Q07065,O94874
Q9H2G4,Q9UGU5
Q92974,Q676U5
Q96G25,Q9BWU1
P51532,Q9UPN9
Q63ZY3,Q8TBB0
Q9Y2R5,Q52LW3
P43405,P42229
Q96JN2,O14964
Q8NB46,Q9UPQ9
Q01804,Q8WU79
O00515,Q6IQ23
P19878,P62873
Q13017,Q14289
Q96CS2,Q8TD31
O75533,O75400
O60566,O14965
Q9BYM8,Q8N9V2
Q9NRI5,Q9UGN5
O14617,Q9HC77
Q969Y2,Q13825
P29597,O14744
Q9UM82,Q6ZMZ3
Q5HYK7,Q96B97
P33993,Q9BWF2
P29372,Q96RK0
Q2TAC2,Q8N4C6
Q7Z434,Q14142
Q9Y620,Q13131
P35251,Q8IXZ2
O75400,Q9BXM7
Q8WXE1,Q9UJV3
Q96PY6,Q86UY6
P41252,P08559
Q08426,P36406
Q3SY00,P14373
Q13190,Q6ZMZ3
P62873,Q8N488
Q8TF42,Q9H9H4
Q5T9S5,Q9UMS4
P35606,Q69YN4
O75334,Q9Y2X7
P55209,Q15051
P19174,O60496
Q16401,P61201
Q8WV60,Q02241
Q8N3C7,Q3KQU3
P78527,Q69YN4
Q14847,P26368
P12270,Q9NRJ4
Q9UDY2,Q9Y4K3
Q9BRK4,Q14134
P35222,Q9Y2S2
Q8NEF9,Q9P227
Q0VG06,Q8N1A0
O15259,Q99615
Q6UWP8,O94842
Q68DK2,P13196
Q5VZ89,O75665
Q14980,Q9BXW9
O75970,Q14807
O00257,P46937
P33992,Q15058
O14548,Q96LU5
P28331,O75208
P06400,Q8WTS6
P46778,Q9BV73
Q14318,Q96RQ1
O75970,P18206
Q8IWC1,Q96B97
P78362,O75460
P23246,P61964
P35251,P62753
Q9ULT0,Q14258
O95801,P55072
Q9H2G2,Q13501
O43182,P14866
Q14676,Q9BSM1
Q9BYE7,Q9H992
Q13873,P14866
O95858,Q7Z404
Q02880,P51532
Q6P3W7,O43752
P62753,Q9Y6E0
Q9UHR4,Q15029
Q15363,Q15006
Q9H6T3,Q86WU2
P21579,Q53HL2
Q9Y3D9,Q9GZT6
Q00613,P78527
P51532,Q00653
Q9UBC1,Q8TBK6
Q5VT25,O00212
Q9NU22,Q9Y275
Q9BVC6,Q9C0E8
Q5VTB9,P35222
P28070,Q86UX6
Q8N122,Q6PJG6
P46459,Q15075
P83731,P49736
Q14498,P51957
Q16204,O60504
Q9NRI5,P46100
O60907,Q9GZZ9
Q8NG08,Q14181
Q96N67,Q92574
O14681,Q9C0E8
O75146,O95613
Q92614,Q7L0Q8
Q13823,Q9GZS1
Q14676,P51957
P51617,P23497
Q7Z7G8,P50402
Q969X5,P31943
P02649,Q6IQ23
O15287,Q0VG06
Q9NUG6,Q8NFJ9
Q9P2N2,P04792
P11532,Q9ULU8
Q99550,Q8N960
Q8NI36,O43663
Q96AQ6,Q8N5C8
Q9Y2D4,Q9H4M7
P23246,Q4G0J3
P28288,Q7Z406
Q8NFW8,Q9NVC6
Q13501,Q92805
P33993,Q15058
Q13425,Q9Y4J8
Q2M1P5,Q4VCS5
Q71RC2,Q13618
Q13148,Q13501
O60341,Q96CS2
O75027,Q9HCS7
Q9H3U1,Q8N157
Q9HBF4,Q96CV9
Q8TBB1,Q9BZR9
Q13263,Q96EP0
O14879,Q9Y4K3
Q99550,Q8NDV7
P38606,Q6IQ23
P33993,Q52M75
P19174,P58546
Q9NP66,P35611
P47813,Q13033
O60566,Q9UJX2
Q9UJX5,Q9H6Y5
Q5C9Z4,Q8WUA4
P47813,Q96F24
Q96PK6,Q9H5K3
Q8WY36,P79522
Q969Y2,Q9Y2Z4
Q86Y13,Q9NQZ3
Q02218,P36776
Q86Y82,P02545
P02545,P60468
P98170,Q9H0E2
Q9Y3X0,Q676U5
Q9P2P6,Q9NQW6
Q02790,O75665
Q96R06,Q15029
Q9UJY4,P55072
Q9C0J8,Q00534
Q9ULE0,Q8IX03
Q8N4L8,Q96EP0
P55199,Q9GZS1
Q7LGA3,P40855
Q15773,Q14142
Q9P2D1,Q15058
Q9P0L0,P20290
P36894,Q9Y5W9
Q14527,Q96RK0
Q99996,Q8IV32
Q76N89,Q69YN4
P36543,P16435
O75925,P54252
P51572,Q13794
Q8TEU7,Q69YN4
Q15811,O43752
O43379,P33992
Q99623,P05166
P24928,Q13427
Q7Z6J0,Q14258
Q9NTZ6,Q9P2S5
Q7Z2K8,P04629
Q9Y2I7,Q96JN8
Q494U1,Q5JR59
P06576,Q12873
Q16836,O95900
P54819,O14733
Q7Z2W4,P07948
Q13435,P98175
Q14C86,P33991
Q8NEN9,Q96GR4
O75385,Q15154
P08559,Q16666
P19838,Q9Y570
Q7Z4H7,Q567U6
Q9Y4G2,P51149
Q9BTD8,Q96DI7
Q96EZ8,Q49A92
Q13523,Q08170
Q3T8J9,Q9Y575
Q96CW5,Q8IZT6
Q9C0F1,Q6ZMZ3
O95900,P79522
Q96JH7,Q13263
O95295,Q9UIL1
P30414,P68400
Q9HC52,Q5W5X9
P35250,P05783
Q13613,Q13308
O75410,Q6ZMZ3
P42704,Q9Y4K3
O60518,Q9H4M7
O00232,Q13616
Q9UHX1,Q13618
O75027,Q92769
Q86Y13,Q99700
O60341,Q6NSJ2
Q14674,P33981
Q02218,O00217
Q15291,Q9UHD2
Q68EM7,Q01844
P78362,P49840
Q92759,P24928
Q53EZ4,Q92805
O75344,Q9BYV6
Q15542,Q13618
Q14746,P04629
Q9P2M7,P30291
Q13523,Q86UY6
Q12933,O14836
Q99961,Q5S007
Q9UHV9,Q9Y297
P62258,Q9NZQ3
Q00059,Q96RK0
Q9P2M7,O15085
Q8ND24,Q9H000
Q13480,Q9HBL0
P26441,Q8NG50
Q8IVL1,Q96T37
Q9UL03,Q92800
Q9BR77,P50402
Q00613,P33991
P26368,Q9Y383
P49757,P55196
Q96QZ7,Q8WUY9
Q13425,Q9H4B6
O95487,Q9NYZ3
P49756,Q9UMS4
Q9UJX2,Q9UKT4
P62306,Q96AC1
Q96R06,Q9H5N1
A2VDJ0,P02652
Q9UDY2,Q6IQ23
Q8IYB7,Q14781
Q9UI08,Q676U5
Q13131,P15735
O60341,Q9H8V3
Q9Y5K6,Q8TDR4
P27816,Q9BQS8
Q00610,P49792
Q96QG7,Q6ZMQ8
Q9Y2D8,Q9H267
Q16543,Q99558
Q5T5U3,Q9UDY2
Q96S79,Q14258
Q6XUX3,P42331
Q9Y6E0,Q02241
Q12981,Q9H4M7
Q14667,Q99615
Q6UB35,Q3KP44
P05783,P42858
Q14566,Q9H4M7
P04843,Q9UMS4
Q13620,Q9H765
Q9Y6R4,O60566
Q16630,P46937
Q9UKN7,Q9ULV5
Q9UKA4,Q9P0L0
P51572,O15078
P83731,P23588
Q53EL6,Q38SD2
Q96Q89,Q9NX55
Q05519,Q15287
P07919,Q9NV92
Q9HC35,P49703
O43639,Q7Z6G8
P22314,O14578
P49821,P61421
P14678,P24928
O15269,P51617
Q01105,P43243
P05387,Q9BXJ9
Q9BZH6,P10636
P04843,P61587
P06576,Q63ZY3
P28070,Q13501
Q16576,P49321
Q9BQG0,Q14596
Q8WUM4,O14949
Q9HB71,Q13546
O75533,O75530
Q8TDM6,Q8N488
P40926,Q00987
P29323,Q9ULT8
Q92643,Q9H5K3
Q9BSW7,Q9Y250
Q9BX66,Q6ZU80
Q96MA1,P56545
Q6WCQ1,O15085
Q71F23,Q8WYQ5
Q01970,O00443
Q0JRZ9,Q00610
Q15147,O60341
P09874,Q86VM9
Q8N9N8,Q9UH99
Q9H488,Q9P0L0
Q8IWZ5,Q9UJV3
Q12873,P34897
Q53GS7,P57740
Q9Y237,Q69YN4
P17980,Q14142
Q16576,Q96ST3
Q8NDT2,P08621
P49756,Q15637
Q9UJV3,P0C1Z6
P42858,Q92797
Q6UWP8,P49736
Q9NQ76,P19174
P15924,Q86VM9
P42858,Q9NP74
Q969F0,Q6RW13
Q12788,P61964
P42356,Q14258
P55735,Q13618
Q9BRS2,Q9H4M7
O14654,O14508
Q9Y4C8,Q8TBF4
Q8IVH8,Q9NRL3
Q9BWU0,P62306
Q53LP3,P23497
Q96A33,Q676U5
Q9Y5B9,Q08945
Q92797,Q8NFZ5
Q15147,Q9NQ66
P52272,P38398
P22314,Q9BXL6
P49792,Q9H4M7
Q8TF42,Q9NQL9
Q03518,P08574
Q9H0I3,Q9Y2X7
Q13011,Q13310
P08133,Q14258
Q8N3E9,Q9Y4X5
P25054,Q14258
Q86UW6,Q9UMS4
Q16531,Q9UEW8
O15260,Q92667
Q8NDT2,Q15291
Q9NRI5,O95347
Q8N3K9,Q9Y570
P13995,P08559
Q96JK2,Q8N3E9
Q15751,P0DPB3
O75027,P40926
Q9BRR8,Q15029
O00459,P07948
Q9BSW7,Q08379
P40855,P28070
Q86XK2,Q92567
Q9BUL8,Q96Q42
Q9NRA8,Q7Z699
O75821,Q6IQ23
Q9NRZ9,Q9BZV1
P28288,O94972
Q8TC84,O60333
Q96RF0,Q13627
P35250,Q86WJ1
P42704,Q6IQ23
Q15334,P04629
Q12849,Q9BRS2
O43175,Q96EA4
P36406,Q13263
Q8WTS6,Q00987
Q99816,O95405
Q9BZF1,Q96R06
Q9H6D7,Q86YT6
Q9Y2W6,Q99623
Q9BYG3,Q15029
Q86Y07,P04843
Q13751,Q15058
Q8N137,Q92574
O14964,Q9HCE1
Q96SN8,O43663
P07910,Q9BV73
P51813,Q8TCJ0
Q99550,Q8NA72
P05129,Q9HCE7
Q9NSE4,Q7Z2W9
Q96LD4,Q9UQB3
Q14498,Q96DR7
Q92900,P98179
Q6UXN9,O94992
Q92804,Q15058
Q15528,Q9H204
Q92783,Q13137
Q15417,Q8NFZ5
Q7Z3T8,Q86UY6
P35222,Q15040
Q9C029,Q9GZM8
Q9HAW4,Q6PIJ6
Q9NZC4,P78545
P49406,Q9BYV6
Q86VP1,O75865
Q9H814,P78362
Q14204,P61964
P62316,Q15058
Q9Y3C5,Q9UBS8
P49755,P13693
Q86YT6,O00444
Q9ULU8,Q8TBB1
O43684,Q6P2Q9
Q5VZ89,Q92538
Q9BZF1,Q12846
Q5RL73,P51159
Q92804,Q14999
Q9NV06,O14777
Q16186,Q9BXM7
Q86YC2,P51957
Q5VV42,Q15669
Q8WV44,Q68CZ1
P38398,Q86YC2
Q8IZE3,O00559
P46108,Q9Y3L3
Q14671,Q99700
P56962,P49754
Q9NZZ3,Q92624
P55196,P62258
P28066,Q96GF1
Q9Y2T2,P51813
Q96CS2,P55072
Q96QT4,Q96JN8
P62316,Q14999
Q53S33,P53370
Q14247,Q504Q3
Q9UJZ1,P08559
Q9H792,Q15669
Q96KQ4,Q8NHY3
Q9H992,Q16659
Q9BUB5,O14964
Q13616,O14818
Q6Q0C0,Q9NVK5
Q9NQU5,Q15746
Q5VU43,P06733
Q15311,Q8TD31
P13639,P06576
Q15643,Q9UGI0
Q6PJT7,Q03933
Q96QT4,Q96RQ1
Q8TEP8,Q4G0J3
Q8NHQ1,P62316
P40763,Q69YN4
Q14204,Q4G0J3
Q9Y383,P21673
O14936,P78362
Q96LZ7,Q9P0L0
P33992,Q14498
Q9UBP0,Q5T4F4
A1L4K1,Q9HC52
Q14974,Q9Y2M0
Q9H147,Q8TEC5
Q14004,O60930
Q96AC1,Q9Y2T2
O95359,Q14258
P19338,Q9H8V3
A6NLP5,P32754
Q99759,P25963
Q96A33,P51572
O15381,Q9H4M7
Q9NR80,Q9HCE1
Q8NF91,P60468
P42858,Q8N5V2
O75665,Q4VCS5
P04792,O75794
Q9BWG6,Q9H2G9
O14974,Q02241
O60504,P14373
P62304,Q13617
O00161,P07948
Q93034,Q9Y2V7
Q13084,P08621
P14866,Q9H8V3
O15085,Q9H5Z6
P62753,Q9HAU5
O95817,Q9NPF4
P98082,Q92614
Q14151,Q15006
O43663,Q14676
Q9UHX1,P52272
Q16659,P56545
Q7Z2W4,O43752
Q9NZ71,P14866
O15315,P13693
Q8NI08,Q9BYF1
A7MCY6,Q9UPQ9
Q14974,O94874
Q9Y4I1,Q69YN4
Q96M89,O15078
Q96QZ7,Q5TCZ1
Q13751,Q969H0
P31943,Q8TB24
P49821,Q12849
Q7Z6J0,Q13796
Q66K74,Q13263
Q9BYD3,P62995
Q6PKG0,Q9Y383
P98175,Q92804
P09874,Q96A37
Q9BQA1,P83369
Q13242,Q8NFH4
Q9BWU0,P14678
O95376,O14544
O75663,P48023
Q8NHV4,Q27J81
Q15040,P36406
O43166,Q8WUY9
Q13620,P25786
Q13200,P25786
P42858,Q9Y605
P36894,Q7L0Q8
Q16543,Q8TC44
Q9H2S5,Q15276
Q9BSI4,P38398
P38606,P14868
Q9UFE4,Q5XPI4
Q9Y2V7,Q12774
Q10567,Q8N6T3
Q13501,Q8IZQ1
Q9C0C2,Q9Y6R9
Q07666,Q9HBD1
Q8NE71,P57078
P25205,O95235
Q8WXH0,P78527
Q14966,O95235
O60341,Q9H4M7
P06753,P34897
Q6P1L5,P14866
Q8NB46,P53350
P05783,Q9Y446
P31948,Q8TD08
Q9NQT8,Q13009
P04792,Q96SU4
Q8TBB1,Q8WXE1
P06576,Q15029
P11532,Q68CZ2
Q96CW1,Q86TB9
O15042,O94972
O43678,O75570
Q6P2Q9,Q14258
Q8N684,O75530
Q8WV44,Q13368
Q9NXL9,Q8WVV9
Q8NEY1,O60341
P45973,Q00987
Q9P0V3,P61587
O14757,Q9H0H5
Q96EP1,Q96KB5
Q9NWH9,P43243
P02647,P60033
Q969V4,P57075
Q6ZW31,Q9NQT8
P08962,O60637
P09012,Q8TEA7
O75665,Q8ND24
Q96LJ8,Q5S007
Q6KB66,O94992
P52429,Q7Z695
Q8TCY9,Q9UGI0
Q3SY00,Q86XT4
Q99457,Q9UBC1
Q9BWW4,Q13263
Q13148,Q14258
Q9NRS6,P36542
Q99797,Q13418
O75175,Q8N137
Q8N465,Q99471
Q9P2W9,Q96AJ1
P55209,Q13263
O00541,P55209
P38606,P08574
P49757,P49257
Q07666,O15294
Q00610,Q6N021
Q8NB90,P04629
O43175,Q9UQL6
Q96CV9,Q86Y82
O14939,Q8TBK6
P12956,Q9NY59
O75694,Q86VQ0
Q9H814,Q7Z6Z7
Q53EZ4,Q15154
Q8IWA0,Q15269
Q96PU8,Q9NSP4
P02768,Q969H0
Q9NVJ2,Q9NR56
Q9Y5S9,Q9BYZ6
P46821,Q9Y6S9
Q9BYV6,Q8TEB1
Q969G3,Q86U86
P36776,Q9BZE1
Q8TBA6,Q5T4F4
Q12849,Q13825
Q9BTE6,Q15773
Q9UNX4,Q9BWF3
Q58A45,Q9UPQ9
Q9NPF4,Q8NCE2
Q15427,Q9H4M7
Q9HC52,O75031
P35222,P02545
Q2KHN1,Q9NQZ6
Q9NV06,Q8WWM7
Q8NB66,P05387
Q6IPR3,O75570
P46940,Q15653
Q8N684,O00267
O94964,Q9Y250
O75884,Q86U90
P49257,Q07065
Q86SE9,Q9NYY3
P26232,P46937
Q96CW1,P55072
P46199,Q96S79
Q8TDY2,Q8N488
O14964,Q6ZS82
Q96H55,Q9Y3D6
O60684,P52298
Q14684,O15155
P26368,Q96I25
Q96GA3,O95661
Q14527,Q13469
Q9Y230,Q96CW1
Q8N137,Q15154
Q5HYK7,P07948
P05783,P23508
Q9Y6H1,O43172
P61964,Q9GZS3
Q2Q1W2,Q08170
Q5T5U3,Q8NFZ5
Q9BZC7,Q96SN8
P23508,Q96H12
Q9NW64,P56945
P62753,P23588
Q15075,Q7Z7A4
Q9ULU8,Q92625
Q9P2Y5,P51149
Q8TEQ0,Q96CW1
Q13796,Q9NWB7
Q14BN4,Q8N998
Q96EA4,Q01844
Q15149,O95817
Q9BZW7,Q9HC52
Q9UNH7,P13693
P62258,Q9C0B0
O00232,P49721
Q9H967,O00189
Q9UGY1,P84098
P0C6C1,O00217
P62826,Q96Q27
Q9BQG0,Q3KP44
Q9P0K7,O00212
O15360,Q92925
O95503,P61962
Q9BY77,Q9H967
Q6IC98,P50402
Q86TL0,Q96DT6
Q5TBC7,O00560
Q9C0C2,Q13627
Q96RR1,P78362
Q14678,P62258
Q9BVG8,Q14142
Q96DX4,P78317
Q9BXB5,Q9BZV1
O14576,Q5VYK3
Q5XUX0,Q12834
Q9NWU5,Q12849
O60313,Q96R06
P13995,Q9NQW6
P19338,Q9UL15
Q00059,Q13469
Q96RK0,P53350
P06213,Q9UK22
Q8TDR0,Q8WYA0
P48736,Q9NRR6
Q8N7W2,P50402
Q12959,Q2KJY2
O60341,Q8N4C7
O75521,P46199
P62753,O60381
O00461,P04629
P36406,Q9Y6K9
Q9UQL6,Q9H0K1
O14893,Q8WXD5
O96008,Q9H4M7
Q9H0L4,Q01844
P02647,Q6N021
Q8WUY9,Q14966
Q92900,Q9H074
Q9H488,P55072
P49755,O94972
Q13435,P08621
Q99871,Q9H6D7
Q9UNX4,O43663
Q96JH7,Q8WTW4
P20618,O76064
Q9NW82,Q676U5
P51617,Q6SZW1
Q5S007,O60313
Q8TD31,A6NC98
Q8NC56,O43663
Q9NVH2,Q9NQW6
Q15149,Q9BXW9
Q92878,Q99728
Q13242,Q12849
Q9UQQ2,P62258
Q8WU79,O75553
Q8NFJ9,O15078
Q14008,Q9NVX0
Q9BXB5,Q14676
Q96E11,Q6RW13
Q13490,Q15628
Q9UBN7,P12956
Q16576,Q7Z6Z7
Q9BRR8,Q9Y2D8
O95639,Q86VM9
Q9BYB0,Q8IWW6
O00541,Q5S007
P55072,P35222
Q96GA3,Q15029
Q9BQY9,P02545
Q86YS3,Q8NA72
Q15746,Q96H55
Q9BSJ8,Q86VP1
P52735,Q08345
Q9UQ80,Q8N488
Q9NRI5,Q86XK2
Q13835,Q13057
Q6PJG6,P78317
Q7Z419,Q9UHD2
Q9UKA1,Q9HCE7
Q9H147,P14866
P19174,P52429
P22314,Q676U5
Q9NX07,Q9NYZ3
Q13724,P04629
Q9H425,Q6ZU80
P04843,Q13286
P50570,Q14258
P05166,Q7Z6Z7
Q8N5F7,Q02040
Q92925,Q15773
Q99996,O60894
Q8WW24,Q99959
